np, ms
1, 5.7 
2, 3.0 
3, 2.3 
4, 2.6 
5, 2.1 
6, 1.9 
7, 2.1 
8, 2.3 
9, 2.5 
10, 2.6 
11, 2.7 
12, 2.2 
13, 3.0 
14, 2.1 
15, 2.2 
16, 2.2 
