np, ms
1, 0.0 
2, 0.2 
3, 0.2 
4, 0.4 
5, 0.6 
6, 1.2 
7, 1.7 
8, 2.0 
9, 2.2 
10, 3.2 
11, 2.0 
12, 2.4 
13, 2.2 
14, 2.8 
15, 3.4 
16, 3.9 
