np, ms
1, 12.9 
2, 6.6 
3, 5.2 
4, 4.4 
5, 4.2 
6, 4.2 
7, 3.8 
8, 4.5 
9, 4.8 
10, 5.8 
11, 4.2 
12, 4.6 
13, 4.7 
14, 5.5 
15, 9.1 
16, 4.5 
