np, ms
1, 55.0 
2, 28.7 
3, 20.9 
4, 22.7 
5, 19.1 
6, 15.5 
7, 14.3 
8, 13.5 
9, 12.7 
10, 12.7 
11, 11.8 
12, 11.4 
13, 9.5 
14, 9.4 
15, 8.5 
16, 9.6 
