np, ms
1, 86.9037 
2, 44.0415 
3, 31.2871 
4, 25.0408 
5, 32.0584 
6, 32.6298 
7, 34.3174 
8, 35.4580 
9, 36.9978 
10, 38.2308 
11, 35.4351 
12, 38.1459 
13, 36.2089 
14, 40.3793 
15, 37.6370 
16, 39.4855 
