np, ms
1, 55.6 
2, 29.0 
3, 24.6 
4, 25.2 
5, 19.9 
6, 15.9 
7, 14.7 
8, 12.8 
9, 15.2 
10, 19.5 
11, 18.4 
12, 21.1 
13, 22.8 
14, 19.7 
15, 21.3 
16, 21.1 
