np, ms
1, 57.5 
2, 31.1 
3, 30.3 
4, 23.6 
5, 27.8 
6, 24.9 
7, 27.7 
8, 27.9 
9, 26.8 
10, 25.6 
11, 28.0 
12, 28.2 
13, 29.6 
14, 22.1 
15, 27.6 
16, 25.6 
