np, ms
1, 86.8329 
2, 45.7024 
3, 31.4738 
4, 25.8863 
5, 31.6833 
6, 33.8333 
7, 33.9857 
8, 35.3698 
9, 36.6436 
10, 36.0487 
11, 37.6321 
12, 38.5033 
13, 37.8983 
14, 37.6394 
15, 38.3764 
16, 36.3994 
