np, ms
1, 57.7 
2, 29.1 
3, 28.6 
4, 25.6 
5, 24.4 
6, 29.9 
7, 27.6 
8, 30.1 
9, 30.2 
10, 24.6 
11, 27.0 
12, 26.6 
13, 23.6 
14, 31.8 
15, 30.5 
16, 29.2 
