np, ms
1, 55.7 
2, 27.9 
3, 20.4 
4, 22.9 
5, 17.0 
6, 16.8 
7, 16.0 
8, 12.6 
9, 13.2 
10, 12.6 
11, 11.9 
12, 12.6 
13, 12.8 
14, 11.1 
15, 10.4 
16, 11.4 
