np, ms
1, 84.5 
2, 28.4 
3, 76.7 
4, 62.5 
5, 62.7 
6, 24.7 
7, 76.0 
8, 76.8 
9, 56.5 
10, 48.4 
11, 24.7 
12, 77.8 
13, 60.1 
14, 65.2 
15, 55.0 
16, 31.9 
