np, ms
1, 57.4 
2, 30.7 
3, 57.0 
4, 41.3 
5, 27.0 
6, 35.6 
7, 40.3 
8, 32.1 
9, 29.2 
10, 29.3 
11, 48.4 
12, 51.9 
13, 34.8 
14, 34.4 
15, 31.9 
16, 26.4 
