np, ms
1, 55.3 
2, 27.9 
3, 21.1 
4, 21.0 
5, 20.8 
6, 17.4 
7, 13.0 
8, 11.7 
9, 13.3 
10, 12.5 
11, 11.7 
12, 11.6 
13, 10.7 
14, 11.9 
15, 10.2 
16, 10.2 
