np, ms
1, 8.8 
2, 4.6 
3, 3.3 
4, 3.1 
5, 2.8 
6, 3.0 
7, 3.7 
8, 9.5 
9, 6.3 
10, 12.2 
11, 8.4 
12, 4.5 
13, 5.0 
14, 5.2 
15, 6.1 
16, 6.8 
