np, ms
1, 88.6620
2, 44.2852
3, 31.1717
4, 25.6220
5, 33.2718
6, 32.8679
7, 33.8720
8, 35.0124
9, 37.5563
10, 37.0496
11, 37.3346
12, 36.8017
13, 38.6905
14, 38.8122
15, 36.2404
16, 35.3845
