np, ms
1, 86.9975
2, 43.9440
3, 31.1500
4, 25.0279
5, 32.7577
6, 33.8009
7, 34.6407
8, 36.3633
9, 39.4608
10, 36.2189
11, 37.7144
12, 37.6351
13, 37.9984
14, 37.5869
15, 38.1188
16, 37.4455
