np, s
1, 0.5788551
2, 0.3023041
3, 0.2259512
4, 0.2018552
5, 0.4063605
6, 0.3856772
7, 0.3559205
8, 0.3768945
9, 0.3615547
10, 0.3672229
11, 0.4741403
12, 1.5839253
13, 1.8049482
14, 0.5981716
15, 1.8579897
16, 0.4668194
