np, s
1, 0.004790926
2, 0.003085803
3, 0.002412391
4, 0.003032564
5, 0.01240769
6, 0.01255041
7, 0.01250758
8, 0.01234652
9, 0.01317887
10, 0.01347119
11, 0.02011251
12, 0.06619812
13, 0.08599562
14, 0.1420941
15, 0.08161187
16, 0.01381223
