np, s
1, 4.716619
2, 2.371292
3, 1.629778
4, 1.511521
5, 2.152909
6, 1.991579
7, 1.781145
8, 1.782837
9, 1.81143
10, 2.317271
11, 1.835653
12, 2.825082
13, 1.75836
14, 1.723341
15, 1.634056
16, 7.983117
