np, s
1, 7.140634e-05
2, 0.0002243996
3, 0.0002061845
4, 0.0003290178
5, 0.0027486832
6, 0.0008457896
7, 0.0009648799
8, 0.0010085572
9, 0.0010535725
10, 0.0011671788
11, 0.0142291269
12, 0.005909891
13, 0.009185009
14, 0.01752731
15, 0.025459982
16, 0.012454789
