np, s
1, 7.468539
2, 3.381306
3, 2.189746
4, 2.570864
5, 2.094768
6, 1.452945
7, 1.273192
8, 1.2655
9, 1.29608
10, 1.379314
11, 1.119528
12, 1.0522028
13, 2.3334976
14, 0.9119562
15, 0.8539475
16, 2.8864112
