np, ms
1, 0.0 
2, 0.1 
3, 0.1 
4, 0.2 
5, 1.3 
6, 1.2 
7, 1.8 
8, 2.2 
9, 2.7 
10, 3.2 
11, 4.5 
12, 3.3 
13, 4.9 
14, 5.8 
15, 5.0 
16, 4.5 
