np, ms
1, 55.8 
2, 27.9 
3, 22.0 
4, 22.1 
5, 21.5 
6, 18.7 
7, 14.0 
8, 15.7 
9, 13.5 
10, 14.0 
11, 12.3 
12, 12.6 
13, 15.3 
14, 20.9 
15, 21.0 
16, 21.6 
