np, ms
1, 0.0 
2, 0.2 
3, 0.2 
4, 0.3 
5, 0.5 
6, 0.8 
7, 1.1 
8, 1.6 
9, 1.6 
10, 2.1 
11, 1.3 
12, 1.3 
13, 1.6 
14, 1.8 
15, 2.2 
16, 1.6 
