np, ms
1, 5.5 
2, 2.8 
3, 2.2 
4, 2.2 
5, 2.7 
6, 2.4 
7, 2.2 
8, 2.3 
9, 3.0 
10, 3.0 
11, 3.4 
12, 3.9 
13, 3.7 
14, 3.6 
15, 4.2 
16, 5.0 
