nthreads, s
1, 11.645317236
2, 19.0497987095
3, 12.729730254
4, 24.951620871
5, 21.2658797845
6, 22.265402012
7, 19.701645215
8, 7.455048331
9, 9.508053654
10, 16.9603384455
11, 16.642760815
12, 13.8277498315
13, 13.961139953
14, 11.7757206075
15, 10.8643925595
16, 9.5043180365
17, 9.632296247
18, 8.063922978
19, 7.699824412
20, 7.011576259

