nthreads, s
1, 3.6567014216999993
2, 2.9720212581
3, 2.6013757683
4, 2.4894523744
5, 2.4334294688
6, 1.8367047413999997
7, 1.6692121856
8, 1.7922627457
9, 1.8338397558000004
10, 1.7646336876
11, 1.6875476585000002
12, 1.5004930558999998
13, 1.4399272945
14, 1.4539902440999999
15, 1.4211388545
16, 1.4525630152
17, 1.440149947
18, 1.4519897754
19, 1.4384614811
20, 1.3875650461000002
