np, s
1,118.805620869
2,54.877740445
3,40.208429460
4,29.536484131
5,32.606068754
6,31.299623003
7,30.799693257
8,31.791979186
9,30.714236374
10,29.614878771
11,28.993951605
12,29.560052881
